	root	phylum	class	order	family	genus
4	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Simonsiella
10	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
11	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
12	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
43	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella
66	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella
94	Root	Firmicutes	Clostridia	Clostridiales	Clostridiales	FamilyXI.IncertaeSedis
104	Root	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia
107	unk	unk	unk	unk	unk	unk
114	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Fusobacterium
118	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
119	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
124	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
128	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
132	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia
146	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
153	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
176	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
191	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
223	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
225	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
228	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
239	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
244	Root	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella
245	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
261	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
292	unk	unk	unk	unk	unk	unk
306	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
312	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
318	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
330	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas
336	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
337	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
346	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
367	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
373	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Fusobacterium
386	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
420	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
440	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
447	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
448	Root	Firmicutes	Bacilli	Gemellales	Gemellaceae	Gemella
470	Root	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema
481	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
491	Root	Firmicutes	Bacilli	Gemellales	Gemellaceae	Gemella
507	Root	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema
513	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
517	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Tannerella
518	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella
524	Root	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia
547	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas
552	Root	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia
554	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
555	Root	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unk
557	Root	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Atopobium
558	unk	unk	unk	unk	unk	unk
569	Root	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema
578	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
580	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
602	Root	Firmicutes	Clostridia	Clostridiales	Clostridiales	FamilyXI.IncertaeSedis
603	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
614	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
646	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
648	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
657	unk	unk	unk	unk	unk	unk
662	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Brachymonas
672	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
679	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
703	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
723	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
731	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
749	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
750	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas
760	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
771	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
779	Root	Firmicutes	Clostridia	Clostridiales	Clostridiales	FamilyXI.IncertaeSedis
796	unk	unk	unk	unk	unk	unk
802	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
816	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
864	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia
866	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
868	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
896	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
912	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia
917	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
934	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
957	unk	unk	unk	unk	unk	unk
973	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
988	Root	Firmicutes	Bacilli	Gemellales	Gemellaceae	Gemella
990	Root	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia
1001	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
1004	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella
1051	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
1053	Root	Firmicutes	Bacilli	Gemellales	Gemellaceae	Gemella
1057	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
1093	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella
1102	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
1127	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
1156	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella
1158	unk	unk	unk	unk	unk	unk
1195	unk	unk	unk	unk	unk	unk
1200	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
1207	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
1215	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
1223	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia
1256	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
1286	Root	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella
1312	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
1342	unk	unk	unk	unk	unk	unk
1354	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella
1360	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas
1367	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas
1370	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
1383	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
1388	Root	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unk
1412	unk	unk	unk	unk	unk	unk
1419	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
1424	unk	unk	unk	unk	unk	unk
1430	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
1441	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
1444	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
1454	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
1469	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella
1530	Root	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
1562	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella
1578	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
1582	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
1613	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
1629	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
1634	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
1642	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
1669	Root	Firmicutes	Bacilli	Gemellales	Gemellaceae	Gemella
1681	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia
1731	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Fusobacterium
1770	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
1776	Root	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia
1795	Root	Firmicutes	Bacilli	Gemellales	Gemellaceae	Gemella
1800	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
1807	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
1821	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
1839	Root	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unk
1862	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
1867	Root	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia
1868	Root	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
1898	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
1911	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
1920	unk	unk	unk	unk	unk	unk
1926	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
1934	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
1941	unk	unk	unk	unk	unk	unk
1943	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
1962	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
1966	Root	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella
1981	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
1986	Root	Firmicutes	Bacilli	Gemellales	Gemellaceae	Gemella
2008	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
2011	Root	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unk
2024	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
2044	Root	Firmicutes	Bacilli	Gemellales	Gemellaceae	Gemella
2058	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
2059	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
2060	Root	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unk
2066	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Fusobacterium
2083	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
